Name,Matlab Time(in s),Avg Matlab Time,VS Time(in s),Avg VS Time,Total Time(in s),Avg Total Time
Albrecht_Mentz_,45.3684,47.1815,4.569,4.66537,49.9374,51.8468
Aldo_Paredes_,41.2518,47.1815,4.493,4.66537,45.7448,51.8468
Alec_Baldwin_,36.7544,47.1815,4.857,4.66537,41.6114,51.8468
Alejandro_Atchugarry_,42.4991,47.1815,4.6,4.66537,47.0991,51.8468
Alejandro_Avila_,40.4943,47.1815,4.664,4.66537,45.1583,51.8468
Alejandro_Toledo_,35.937,47.1815,4.942,4.66537,40.879,51.8468
Aleksander_Kwasniewski_,38.9608,47.1815,4.529,4.66537,43.4898,51.8468
Alex_Barros_,39.7828,47.1815,4.475,4.66537,44.2578,51.8468
Alex_Penelas_,40.0788,47.1815,4.824,4.66537,44.9028,51.8468
Alex_Sink_,43.8245,47.1815,4.949,4.66537,48.7735,51.8468
Alexander_Downer_,46.4509,47.1815,4.714,4.66537,51.1649,51.8468
Alexander_Losyukov_,36.6428,47.1815,5.486,4.66537,42.1288,51.8468
Alexander_Rumyantsev_,40.5283,47.1815,4.491,4.66537,45.0193,51.8468
Alexandra_Stevenson_,39.3314,47.1815,4.668,4.66537,43.9994,51.8468
Alexandra_Vodjanikova_,42.1711,47.1815,4.797,4.66537,46.9681,51.8468
Ali_Abbas_,39.4315,47.1815,4.792,4.66537,44.2235,51.8468
Ali_Khamenei_,45.9677,47.1815,4.479,4.66537,50.4467,51.8468
Ali_Naimi_,36.8029,47.1815,4.685,4.66537,41.4879,51.8468
Alice_Fisher_,38.4854,47.1815,4.351,4.66537,42.8364,51.8468
Alicia_Silverstone_,42.5183,47.1815,4.701,4.66537,47.2193,51.8468
Alimzhan_Tokhtakhounov_,41.0619,47.1815,4.858,4.66537,45.9199,51.8468
Alison_Lohman_,45.8825,47.1815,4.437,4.66537,50.3195,51.8468
Allen_Iverson_,43.8305,47.1815,4.881,4.66537,48.7115,51.8468
Allison_Janney_,42.9633,47.1815,4.517,4.66537,47.4803,51.8468
Allyson_Felix_,43.9855,47.1815,4.658,4.66537,48.6435,51.8468
Alvaro_Noboa_,46.8337,47.1815,4.919,4.66537,51.7527,51.8468
Alvaro_Silva_Calderon_,44.2719,47.1815,4.463,4.66537,48.7349,51.8468
Alvaro_Uribe_,37.6798,47.1815,4.694,4.66537,42.3738,51.8468
Amanda_Beard_,35.22,47.1815,4.705,4.66537,39.925,51.8468
Amanda_Bynes_,36.9486,47.1815,4.703,4.66537,41.6516,51.8468
Amanda_Coetzer_,43.7703,47.1815,4.846,4.66537,48.6163,51.8468
Amber_Tamblyn_,37.7487,47.1815,4.559,4.66537,42.3077,51.8468
Amelia_Vega_,62.6816,47.1815,4.488,4.66537,67.1696,51.8468
Amelie_Mauresmo_,50.8268,47.1815,5.348,4.66537,56.1748,51.8468
Amer_al-Saadi_,46.0865,47.1815,5.325,4.66537,51.4115,51.8468
Amram_Mitzna_,39.2473,47.1815,5.414,4.66537,44.6613,51.8468
Ana_Guevara_,38.43,47.1815,4.71,4.66537,43.14,51.8468
Ana_Palacio_,44.2882,47.1815,4.511,4.66537,48.7993,51.8468
Anastasia_Myskina_,74.8269,47.1815,5.334,4.66537,80.1609,51.8468
Anders_Ebbeson_,46.2735,47.1815,4.829,4.66537,51.1025,51.8468
Anders_Fogh_Rasmussen_,43.2537,47.1815,4.469,4.66537,47.7227,51.8468
Andre_Agassi_,37.5872,47.1815,4.85,4.66537,42.4372,51.8468
Andrei_Mikhnevich_,42.7302,47.1815,5.052,4.66537,47.7822,51.8468
Andrew_Bunner_,41.6076,47.1815,4.976,4.66537,46.5836,51.8468
Andrew_Cuomo_,38.0611,47.1815,4.78,4.66537,42.8411,51.8468
Andrew_Niccol_,37.3825,47.1815,4.507,4.66537,41.8895,51.8468
Andrew_Weissmann_,36.7505,47.1815,4.555,4.66537,41.3055,51.8468
Andy_Hebb_,38.8294,47.1815,4.495,4.66537,43.3244,51.8468
Andy_Roddick_,42.4102,47.1815,4.979,4.66537,47.3892,51.8468
Angela_Bassett_,37.436,47.1815,4.958,4.66537,42.394,51.8468
Angela_Lansbury_,48.3341,47.1815,4.646,4.66537,52.9801,51.8468
Angela_Merkel_,48.1074,47.1815,4.752,4.66537,52.8594,51.8468
Angelina_Jolie_,36.7026,47.1815,5.197,4.66537,41.8996,51.8468
Angelo_Reyes_,44.4647,47.1815,5.19,4.66537,49.6547,51.8468
Anibal_Ibarra_,42.7251,47.1815,4.86,4.66537,47.5851,51.8468
Ann_Veneman_,40.192,47.1815,4.717,4.66537,44.909,51.8468
Anna_Kournikova_,40.6071,47.1815,4.622,4.66537,45.2291,51.8468
Anna_Nicole_Smith_,42.1534,47.1815,4.383,4.66537,46.5364,51.8468
Anne_Krueger_,38.5644,47.1815,4.424,4.66537,42.9884,51.8468
Anne_McLellan_,39.4267,47.1815,4.59,4.66537,44.0167,51.8468
Anneli_Jaatteenmaki_,41.6906,47.1815,4.771,4.66537,46.4616,51.8468
Annette_Bening_,49.621,47.1815,4.355,4.66537,53.976,51.8468
Annette_Lu_,46.1816,47.1815,4.738,4.66537,50.9196,51.8468
Anthony_Fauci_,37.8409,47.1815,4.549,4.66537,42.3899,51.8468
Anthony_Hopkins_,43.4658,47.1815,4.777,4.66537,48.2428,51.8468
Anthony_LaPaglia_,54.7799,47.1815,5.823,4.66537,60.6029,51.8468
Antonio_Banderas_,42.0161,47.1815,6.138,4.66537,48.1541,51.8468
Antonio_Palocci_,51.7396,47.1815,5.669,4.66537,57.4086,51.8468
Antonio_Trillanes_,44.24,47.1815,5.834,4.66537,50.074,51.8468
Antony_Leung_,44.5182,47.1815,5.669,4.66537,50.1872,51.8468
Anwar_Ibrahim_,50.6414,47.1815,5.121,4.66537,55.7624,51.8468
Arantxa_Sanchez-Vicario_,43.1502,47.1815,4.869,4.66537,48.0192,51.8468
Ari_Fleischer_,58.1766,47.1815,5.208,4.66537,63.3846,51.8468
Arianna_Huffington_,40.5609,47.1815,4.704,4.66537,45.2649,51.8468
Ariel_Sharon_,44.8892,47.1815,4.979,4.66537,49.8682,51.8468
Arlen_Specter_,43.3064,47.1815,7.548,4.66537,50.8544,51.8468
Arminio_Fraga_,38.2633,47.1815,5.048,4.66537,43.3113,51.8468
Arnaud_Clement_,36.4291,47.1815,5.012,4.66537,41.4411,51.8468
Arnold_Palmer_,36.5415,47.1815,4.537,4.66537,41.0785,51.8468
Arnold_Schwarzenegger_,35.85,47.1815,4.866,4.66537,40.716,51.8468
Arnoldo_Aleman_,38.0257,47.1815,4.956,4.66537,42.9817,51.8468
Aron_Ralston_,36.8151,47.1815,4.447,4.66537,41.2621,51.8468
Arsinee_Khanjian_,39.5242,47.1815,4.596,4.66537,44.1202,51.8468
Art_Hoffmann_,37.4655,47.1815,4.478,4.66537,41.9435,51.8468
Art_Howe_,40.3612,47.1815,4.616,4.66537,44.9772,51.8468
Arturo_Gatti_,34.3419,47.1815,4.815,4.66537,39.1569,51.8468
Arye_Mekel_,41.7295,47.1815,4.944,4.66537,46.6735,51.8468
Asa_Hutchinson_,36.2976,47.1815,4.486,4.66537,40.7836,51.8468
Ashanti_,36.4138,47.1815,4.816,4.66537,41.2298,51.8468
Ashton_Kutcher_,42.8505,47.1815,4.739,4.66537,47.5895,51.8468
Atal_Bihari_Vajpayee_,39.1199,47.1815,4.434,4.66537,43.5539,51.8468
Augustin_Calleri_,36.7715,47.1815,4.732,4.66537,41.5034,51.8468
Augusto_Pinochet_,38.6384,47.1815,4.875,4.66537,43.5134,51.8468
Augusto_Roa_Bastos_,44.2069,47.1815,4.35,4.66537,48.5569,51.8468
Aung_San_Suu_Kyi_,40.6809,47.1815,4.926,4.66537,45.6069,51.8468
Azra_Akin_,36.5965,47.1815,4.69,4.66537,41.2865,51.8468
Barbara_Brezigar_,38.2048,47.1815,4.321,4.66537,42.5258,51.8468
Barbara_Walters_,35.1414,47.1815,4.601,4.66537,39.7424,51.8468
Barbra_Streisand_,39.7138,47.1815,4.604,4.66537,44.3178,51.8468
Barrett_Jackman_,35.9833,47.1815,4.223,4.66537,40.2063,51.8468
Barry_Alvarez_,36.9268,47.1815,4.726,4.66537,41.6528,51.8468
Barry_Zito_,38.6106,47.1815,4.354,4.66537,42.9646,51.8468
Bashar_Assad_,34.9137,47.1815,4.744,4.66537,39.6577,51.8468
Begum_Khaleda_Zia_,40.3918,47.1815,4.379,4.66537,44.7708,51.8468
Ben_Affleck_,39.5761,47.1815,4.809,4.66537,44.3851,51.8468
Ben_Curtis_,42.6888,47.1815,4.465,4.66537,47.1538,51.8468
Ben_Glisan_,36.1824,47.1815,4.717,4.66537,40.8994,51.8468
Ben_Howland_,37.3254,47.1815,4.672,4.66537,41.9974,51.8468
Benazir_Bhutto_,38.1119,47.1815,4.332,4.66537,42.4439,51.8468
Benjamin_Netanyahu_,36.8212,47.1815,4.731,4.66537,41.5522,51.8468
Bernard_Landry_,41.566,47.1815,4.65,4.66537,46.216,51.8468
Bernard_Law_,45.8226,47.1815,4.756,4.66537,50.5786,51.8468
Bernard_Lord_,38.8993,47.1815,4.397,4.66537,43.2963,51.8468
Bernardo_Segura_,36.1366,47.1815,4.336,4.66537,40.4726,51.8468
Bertie_Ahern_,36.5075,47.1815,4.727,4.66537,41.2345,51.8468
Bertrand_Bonello_,36.7531,47.1815,4.746,4.66537,41.4991,51.8468
Beth_Jones_,39.3482,47.1815,4.332,4.66537,43.6802,51.8468
Betsy_Smith_,38.2051,47.1815,4.638,4.66537,42.8431,51.8468
Bijan_Darvish_,37.5044,47.1815,4.621,4.66537,42.1254,51.8468
Bijan_Namdar_Zangeneh_,35.436,47.1815,4.298,4.66537,39.734,51.8468
Biljana_Plavsic_,34.419,47.1815,4.705,4.66537,39.124,51.8468
Bill_Belichick_,38.6198,47.1815,4.367,4.66537,42.9868,51.8468
Bill_Callahan_,36.492,47.1815,4.355,4.66537,40.847,51.8468
Bill_Clinton_,37.9392,47.1815,5.107,4.66537,43.0462,51.8468
Bill_Frist_,35.8231,47.1815,4.398,4.66537,40.2211,51.8468
Bill_Gates_,37.8674,47.1815,4.777,4.66537,42.6444,51.8468
Bill_Graham_,36.9722,47.1815,4.599,4.66537,41.5712,51.8468
Bill_McBride_,37.1298,47.1815,4.771,4.66537,41.9008,51.8468
Bill_Nelson_,42.5261,47.1815,4.448,4.66537,46.9741,51.8468
Bill_Parcells_,35.3457,47.1815,4.407,4.66537,39.7527,51.8468
Bill_Paxton_,40.4363,47.1815,4.734,4.66537,45.1703,51.8468
Bill_Simon_,36.5946,47.1815,4.368,4.66537,40.9626,51.8468
Bill_Sizemore_,38.2116,47.1815,4.334,4.66537,42.5456,51.8468
Billy_Crystal_,42.9581,47.1815,4.348,4.66537,47.3061,51.8468
Billy_Graham_,35.9743,47.1815,4.472,4.66537,40.4463,51.8468
Billy_Sollie_,38.9714,47.1815,4.677,4.66537,43.6484,51.8468
Binyamin_Ben-Eliezer_,41.9205,47.1815,4.691,4.66537,46.6115,51.8468
Blythe_Danner_,35.5467,47.1815,4.338,4.66537,39.8847,51.8468
Blythe_Hartley_,37.5362,47.1815,4.669,4.66537,42.2052,51.8468
Bo_Pelini_,36.2599,47.1815,4.366,4.66537,40.6259,51.8468
Bo_Ryan_,34.4683,47.1815,4.789,4.66537,39.2573,51.8468
Bob_Beauprez_,35.3546,47.1815,4.643,4.66537,39.9976,51.8468
Bob_Colvin_,37.9798,47.1815,4.267,4.66537,42.2468,51.8468
Bob_Dole_,46.8335,47.1815,4.539,4.66537,51.3725,51.8468
Bob_Geldof_,39.7952,47.1815,4.388,4.66537,44.1832,51.8468
Bob_Graham_,34.6722,47.1815,4.605,4.66537,39.2772,51.8468
Bob_Hope_,36.5676,47.1815,4.604,4.66537,41.1716,51.8468
Bob_Huggins_,36.1374,47.1815,4.27,4.66537,40.4074,51.8468
Bob_Stoops_,37.7701,47.1815,4.367,4.66537,42.1371,51.8468
Bobby_Goldwater_,46.4222,47.1815,4.286,4.66537,50.7082,51.8468
Bobby_Robson_,42.1609,47.1815,4.385,4.66537,46.5459,51.8468
Bode_Miller_,39.8318,47.1815,4.533,4.66537,44.3648,51.8468
Bono_,46.3559,47.1815,4.337,4.66537,50.6929,51.8468
Boris_Becker_,43.7377,47.1815,4.546,4.66537,48.2837,51.8468
Boris_Berezovsky_,45.8317,47.1815,4.303,4.66537,50.1347,51.8468
Boris_Yeltsin_,42.7998,47.1815,4.58,4.66537,47.3798,51.8468
Brad_Garrett_,40.4488,47.1815,4.639,4.66537,45.0878,51.8468
Brad_Johnson_,45.2666,47.1815,4.333,4.66537,49.5996,51.8468
Branko_Crvenkovski_,48.7792,47.1815,4.452,4.66537,53.2312,51.8468
Brendan_Hansen_,37.3856,47.1815,4.531,4.66537,41.9166,51.8468
Brian_Cowen_,38.5979,47.1815,4.221,4.66537,42.8189,51.8468
Brian_Griese_,39.0289,47.1815,4.616,4.66537,43.6449,51.8468
Brian_Heidik_,41.0236,47.1815,4.29,4.66537,45.3136,51.8468
Brian_Mulroney_,37.8603,47.1815,5.072,4.66537,42.9323,51.8468
Brian_Wells_,40.4935,47.1815,4.719,4.66537,45.2125,51.8468
Bridget_Fonda_,39.953,47.1815,4.466,4.66537,44.419,51.8468
Bridgette_Wilson-Sampras_,57.4489,47.1815,4.413,4.66537,61.8619,51.8468
Brigitte_Boisselier_,57.8073,47.1815,4.619,4.66537,62.4263,51.8468
Britney_Spears_,49.0154,47.1815,4.377,4.66537,53.3924,51.8468
Brooke_Shields_,40.0339,47.1815,4.385,4.66537,44.4189,51.8468
Bruce_Springsteen_,43.609,47.1815,4.712,4.66537,48.321,51.8468
Bruce_Van_De_Velde_,38.1517,47.1815,4.277,4.66537,42.4287,51.8468
Bruce_Weber_,39.3508,47.1815,4.684,4.66537,44.0348,51.8468
Bud_Selig_,40.9854,47.1815,4.708,4.66537,45.6934,51.8468
Bulent_Ecevit_,38.8905,47.1815,4.913,4.66537,43.8035,51.8468
Butch_Davis_,40.7955,47.1815,4.279,4.66537,45.0745,51.8468
Byron_Scott_,45.7334,47.1815,4.626,4.66537,50.3594,51.8468
Calista_Flockhart_,41.8067,47.1815,4.673,4.66537,46.4797,51.8468
Cameron_Diaz_,43.0558,47.1815,4.467,4.66537,47.5228,51.8468
Camilla_Parker_Bowles_,42.409,47.1815,4.738,4.66537,47.147,51.8468
Candice_Bergen_,37.246,47.1815,4.45,4.66537,41.696,51.8468
Candie_Kung_,43.4317,47.1815,4.548,4.66537,47.9797,51.8468
Carl_Reiner_,40.2462,47.1815,4.509,4.66537,44.7552,51.8468
Carla_Del_Ponte_,38.4452,47.1815,4.755,4.66537,43.2002,51.8468
Carla_Myers_,39.0663,47.1815,4.633,4.66537,43.6993,51.8468
Carlo_Ancelotti_,44.2895,47.1815,4.73,4.66537,49.0195,51.8468
Carlos_Bianchi_,39.235,47.1815,4.388,4.66537,43.623,51.8468
Carlos_Ghosn_,58.7051,47.1815,4.649,4.66537,63.3541,51.8468
Carlos_Manuel_Pruneda_,60.5074,47.1815,4.427,4.66537,64.9344,51.8468
Carlos_Menem_,63.1836,47.1815,4.368,4.66537,67.5516,51.8468
Carlos_Mesa_,72.4787,47.1815,4.723,4.66537,77.2017,51.8468
Carlos_Moya_,83.0845,47.1815,4.427,4.66537,87.5115,51.8468
Carlos_Ortega_,153.437,47.1815,4.662,4.66537,158.099,51.8468
Carlos_Quintanilla_Schmidt_,144.866,47.1815,4.692,4.66537,149.558,51.8468
Carlos_Ruiz_,167.179,47.1815,4.339,4.66537,171.518,51.8468
Carlos_Vives_,123.264,47.1815,5.087,4.66537,128.351,51.8468
Carly_Fiorina_,159.313,47.1815,4.76,4.66537,164.073,51.8468
Carmen_Electra_,192.72,47.1815,4.822,4.66537,197.542,51.8468
Carol_Burnett_,139.335,47.1815,4.732,4.66537,144.067,51.8468
Carol_Moseley_Braun_,152.541,47.1815,4.467,4.66537,157.008,51.8468
Carolina_Kluft_,204.659,47.1815,4.692,4.66537,209.351,51.8468
Carolina_Moraes_,132.023,47.1815,4.394,4.66537,136.417,51.8468
Caroline_Kennedy_,172.331,47.1815,4.72,4.66537,177.051,51.8468
Carolyn_Dawn_Johnson_,148.531,47.1815,4.28,4.66537,152.811,51.8468
Carrie-Anne_Moss_,236.393,47.1815,4.618,4.66537,241.011,51.8468
Carson_Daly_,174.301,47.1815,4.707,4.66537,179.008,51.8468
Carson_Palmer_,50.4474,47.1815,4.393,4.66537,54.8404,51.8468
Cate_Blanchett_,77.0322,47.1815,4.437,4.66537,81.4692,51.8468
Catherine_Deneuve_,62.1815,47.1815,4.638,4.66537,66.8195,51.8468
Catherine_Zeta-Jones_,87.3996,47.1815,4.374,4.66537,91.7736,51.8468
Cathy_Freeman_,87.9905,47.1815,4.546,4.66537,92.5365,51.8468
Cecilia_Bolocco_,92.1721,47.1815,4.737,4.66537,96.9091,51.8468
Celine_Dion_,80.3345,47.1815,4.325,4.66537,84.6595,51.8468
Celso_Amorim_,106.529,47.1815,4.602,4.66537,111.131,51.8468
Cesar_Gaviria_,108.524,47.1815,4.636,4.66537,113.16,51.8468
Cesar_Maia_,93.0762,47.1815,4.571,4.66537,97.6472,51.8468
Chakib_Khelil_,101.955,47.1815,4.287,4.66537,106.242,51.8468
Chan_Gailey_,102.998,47.1815,4.469,4.66537,107.467,51.8468
Chanda_Rubin_,92.4054,47.1815,5.084,4.66537,97.4894,51.8468
Chang_Dae-whan_,108.743,47.1815,4.405,4.66537,113.148,51.8468
Charles_Bronson_,98.0919,47.1815,4.652,4.66537,102.744,51.8468
Charles_Grassley_,94.1996,47.1815,4.39,4.66537,98.5896,51.8468
Charles_Kartman_,104.937,47.1815,4.685,4.66537,109.622,51.8468
Charles_Mathews_,98.4833,47.1815,4.696,4.66537,103.179,51.8468
Charles_Moose_,96.0601,47.1815,4.613,4.66537,100.673,51.8468
Charles_Schumer_,86.7297,47.1815,4.379,4.66537,91.1087,51.8468
Charles_Taylor_,99.4276,47.1815,4.661,4.66537,104.089,51.8468
Charlie_Zaa_,102.313,47.1815,4.344,4.66537,106.657,51.8468
Charlotte_Rampling_,106.787,47.1815,4.459,4.66537,111.246,51.8468
Charlton_Heston_,113.307,47.1815,4.758,4.66537,118.065,51.8468
Chen_Liang_Yu_,105.582,47.1815,4.765,4.66537,110.347,51.8468
Chen_Shui-bian_,88.5364,47.1815,4.47,4.66537,93.0064,51.8468
Cherie_Blair_,115.974,47.1815,4.48,4.66537,120.454,51.8468
Chick_Hearn_,91.8184,47.1815,4.704,4.66537,96.5224,51.8468
Chita_Rivera_,99.3408,47.1815,4.326,4.66537,103.667,51.8468
Choi_Sung-hong_,113.194,47.1815,4.649,4.66537,117.843,51.8468
Chok_Tong_Goh_,114.634,47.1815,4.764,4.66537,119.398,51.8468
Chris_Bell_,97.2558,47.1815,4.669,4.66537,101.925,51.8468
Chris_Byrd_,94.3354,47.1815,4.209,4.66537,98.5444,51.8468
Chris_Cooper_,94.1829,47.1815,4.581,4.66537,98.7639,51.8468
Chris_Rock_,100.868,47.1815,4.311,4.66537,105.179,51.8468
Chris_Tucker_,79.1465,47.1815,4.447,4.66537,83.5935,51.8468
Christian_Fittipaldi_,44.7404,47.1815,4.41,4.66537,49.1504,51.8468
Christian_Longo_,45.6895,47.1815,4.433,4.66537,50.1225,51.8468
Christian_Wulff_,39.2253,47.1815,4.709,4.66537,43.9343,51.8468
Christina_Aguilera_,46.1515,47.1815,4.309,4.66537,50.4605,51.8468
Christine_Baumgartner_,37.6752,47.1815,4.538,4.66537,42.2132,51.8468
Christine_Ebersole_,39.9559,47.1815,4.256,4.66537,44.2119,51.8468
Christine_Gregoire_,43.2824,47.1815,4.67,4.66537,47.9524,51.8468
Christine_Todd_Whitman_,38.1445,47.1815,4.287,4.66537,42.4315,51.8468
Christopher_Patten_,38.4411,47.1815,4.52,4.66537,42.9611,51.8468
Christopher_Reeve_,40.536,47.1815,4.515,4.66537,45.051,51.8468
Christopher_Walken_,43.6545,47.1815,4.307,4.66537,47.9615,51.8468
Chuck_Amato_,39.4323,47.1815,4.584,4.66537,44.0163,51.8468
Chuck_Yeager_,49.6175,47.1815,4.359,4.66537,53.9765,51.8468
Chung_Mong-hun_,52.1257,47.1815,4.487,4.66537,56.6127,51.8468
Chung_Mong-joon_,43.0607,47.1815,4.729,4.66537,47.7897,51.8468
Cindy_Crawford_,45.19,47.1815,4.339,4.66537,49.529,51.8468
Cindy_Margolis_,36.8333,47.1815,4.945,4.66537,41.7783,51.8468
Ciro_Gomes_,39.3748,47.1815,4.714,4.66537,44.0888,51.8468
Claire_Danes_,35.5475,47.1815,4.646,4.66537,40.1935,51.8468
Claire_Hentzen_,33.9486,47.1815,4.591,4.66537,38.5396,51.8468
Claire_Leger_,41.0245,47.1815,4.441,4.66537,45.4655,51.8468
Clara_Harris_,37.4587,47.1815,4.726,4.66537,42.1847,51.8468
Clare_Short_,37.6895,47.1815,4.255,4.66537,41.9445,51.8468
Claudia_Pechstein_,42.0788,47.1815,4.65,4.66537,46.7288,51.8468
Claudia_Schiffer_,44.4681,47.1815,4.702,4.66537,49.1701,51.8468
Clay_Aiken_,36.7262,47.1815,4.446,4.66537,41.1722,51.8468
Clint_Eastwood_,43.4559,47.1815,4.779,4.66537,48.2349,51.8468
Colin_Farrell_,48.3982,47.1815,4.803,4.66537,53.2012,51.8468
Colin_Jackson_,40.5071,47.1815,4.409,4.66537,44.9161,51.8468
Colin_Montgomerie_,45.5306,47.1815,4.624,4.66537,50.1546,51.8468
Colin_Powell_,42.0703,47.1815,4.708,4.66537,46.7783,51.8468
Conan_OBrien_,47.5516,47.1815,4.433,4.66537,51.9846,51.8468
Conchita_Martinez_,45.6048,47.1815,4.756,4.66537,50.3608,51.8468
Condoleezza_Rice_,45.9721,47.1815,4.723,4.66537,50.6951,51.8468
Constance_Marie_,43.633,47.1815,4.425,4.66537,48.058,51.8468
Coretta_Scott_King_,36.9281,47.1815,4.551,4.66537,41.4791,51.8468
Corinne_Coman_,36.7577,47.1815,4.679,4.66537,41.4367,51.8468
Costas_Simitis_,44.6578,47.1815,4.547,4.66537,49.2048,51.8468
Courtney_Love_,45.5044,47.1815,4.434,4.66537,49.9384,51.8468
Cristina_Fernandez_,39.3012,47.1815,4.769,4.66537,44.0702,51.8468
Cristina_Saralegui_,36.9802,47.1815,4.321,4.66537,41.3012,51.8468
Cruz_Bustamante_,43.9179,47.1815,4.632,4.66537,48.5499,51.8468
Cyndi_Thompson_,36.6636,47.1815,4.741,4.66537,41.4046,51.8468
Dai_Bachtiar_,39.6281,47.1815,4.523,4.66537,44.1511,51.8468
Daisy_Fuentes_,34.3507,47.1815,4.362,4.66537,38.7127,51.8468
Dalai_Lama_,40.9541,47.1815,4.914,4.66537,45.8681,51.8468
Dale_Earnhardt_Jr_,38.3318,47.1815,4.343,4.66537,42.6748,51.8468
Damon_van_Dam_,38.2093,47.1815,4.474,4.66537,42.6833,51.8468
Dan_Morales_,36.1181,47.1815,5.365,4.66537,41.4831,51.8468
Dan_Wheldon_,39.5811,47.1815,5.426,4.66537,45.0071,51.8468
Daniel_Day-Lewis_,36.4586,47.1815,4.49,4.66537,40.9486,51.8468
Daniel_Radcliffe_,40.8722,47.1815,5.191,4.66537,46.0632,51.8468
Daniela_Hantuchova_,47.3961,47.1815,4.703,4.66537,52.0991,51.8468
Darrell_Issa_,52.9521,47.1815,5.063,4.66537,58.0151,51.8468
Darrell_Porter_,63.8584,47.1815,5.194,4.66537,69.0524,51.8468
Darren_Clarke_,50.9763,47.1815,5.246,4.66537,56.2223,51.8468
Daryl_Hannah_,36.0905,47.1815,4.39,4.66537,40.4805,51.8468
Dave_Campo_,34.4554,47.1815,4.352,4.66537,38.8074,51.8468
David_Anderson_,37.1096,47.1815,4.718,4.66537,41.8276,51.8468
David_Beckham_,36.2769,47.1815,4.397,4.66537,40.6739,51.8468
David_Bell_,41.9424,47.1815,4.353,4.66537,46.2954,51.8468
David_Caraway_,39.0828,47.1815,4.806,4.66537,43.8888,51.8468
David_Caruso_,59.2294,47.1815,4.392,4.66537,63.6214,51.8468
David_Coulthard_,45.866,47.1815,4.407,4.66537,50.273,51.8468
David_Dodge_,40.0625,47.1815,4.722,4.66537,44.7845,51.8468
David_Heyman_,37.4864,47.1815,4.663,4.66537,42.1494,51.8468
David_Heymann_,39.2514,47.1815,4.324,4.66537,43.5754,51.8468
David_Hyde_Pierce_,39.7994,47.1815,4.649,4.66537,44.4484,51.8468
David_Kelley_,42.5423,47.1815,4.338,4.66537,46.8803,51.8468
